,Star name,HR,Star X position,Star Y position,Star Z position,Sum EUV+FUV
65, 67Alp Vir,5056.0,-0.9140794792826853,-0.40395402277303716,-0.03577503374946489,9810943.614257812
66,   Eps Cen,5132.0,-0.5396441673526207,-0.5503134787599078,-0.6371336184329511,2915847.5415039062
67,   Nu  Cen,5190.0,-0.6631453513938285,-0.5796955124341964,-0.47348849594093656,913152.6000366211
68, 85Eta UMa,5191.0,-0.5814596407317896,0.031307231465535657,0.81297265849352,2230818.7631835938
69,   Mu  Cen,5193.0,-0.6548147089133309,-0.5801619149167601,-0.4843860541663722,768651.5793457031
70,   Zet Cen,5231.0,-0.5939216001995342,-0.5930005599150895,-0.5436979572858582,2448765.826904297
71,   Phi Cen,5248.0,-0.645340902353946,-0.6026872049416742,-0.4693647331751578,589721.4678344727
72,   Ups1Cen,5249.0,-0.616500953258784,-0.6026362962933227,-0.5067110310826843,499792.86834716797
73,   Bet Cen,5267.0,-0.42393745038262626,-0.5792027183078579,-0.6962767045276372,13813493.646484375
74,   Chi Cen,5285.0,-0.6416578745786881,-0.6229158119259126,-0.447494204704197,297649.71170043945
75,   Iot Lup,5354.0,-0.5694706619314703,-0.6503297092320844,-0.5027667794210804,515181.0051269531
76,   Eta Cen,5440.0,-0.5771008737705228,-0.6939384346820894,-0.43058568295319644,1811002.0947265625
77,   Alp Lup,5469.0,-0.5149489015264652,-0.696107408716309,-0.5002620356842521,2167222.721435547
78,   Bet Lup,5571.0,-0.5193122302764741,-0.7424348558367329,-0.4232083320587673,1789204.5740966797
79,   Kap Cen,5576.0,-0.5265371678575606,-0.7463450843176509,-0.4070965806530652,916820.014831543
80,   Lam Lup,5626.0,-0.47798871928618186,-0.7564904787466884,-0.4463730948441693,288016.2624206543
81,   Del Lup,5695.0,-0.48421610894193057,-0.795110828308291,-0.36514864171736894,1136922.5573730469
82,   Eps Lup,5708.0,-0.4505729392580881,-0.7843571477759915,-0.42634245758666667,679272.4017333984
83,   Gam Lup,5776.0,-0.4447595035304991,-0.8191506690259474,-0.3621894054961392,1481060.648071289
84,  6Pi  Sco,5944.0,-0.45285018684458134,-0.8864837856364771,-0.09525337830464642,1481900.7678222656
85,   Eta Lup,5948.0,-0.39150300151921574,-0.8700285008989437,-0.2996261127221418,874039.8811035156
86,  7Del Sco,5953.0,-0.4603695360783642,-0.8870571245393428,-0.034489825383503314,2283582.892578125
87,  8Bet1Sco,5984.0,-0.45096512597665783,-0.8923650058283227,0.01775250759399516,1393108.6185302734
88, 20Sig Sco,6084.0,-0.37691072924133445,-0.9235829385574061,-0.07023430634976102,537728.6003417969
89, 23Tau Sco,6165.0,-0.3162021283318625,-0.9427014716645729,-0.10644317432249328,2497416.432373047
90, 13Zet Oph,6175.0,-0.3476475167044971,-0.9165504603486967,0.1976776612664878,764685.469543457
91,   Mu 1Sco,6247.0,-0.2306703078285932,-0.93603213165244,-0.265772567433983,1775582.0729980469
92,   Mu 2Sco,6252.0,-0.2292356944697092,-0.936579171081622,-0.26508574589564743,1872550.693359375
93, 42The Oph,6453.0,-0.149546043350658,-0.9882373437048433,-0.031983330429434575,981970.3094482422
94,   Gam Ara,6462.0,-0.0832942273312355,-0.8335787673416428,-0.5460847098486459,663586.9895019531
95, 34Ups Sco,6508.0,-0.10120846661030018,-0.9650127653097029,-0.24188263491973105,1793525.1149902344
96,   Alp Ara,6510.0,-0.07897998581716598,-0.8910522523566677,-0.4469765602472116,818623.2603149414
97, 35Lam Sco,6527.0,-0.09163871156777864,-0.9668934977275923,-0.23815816298061243,5186342.1396484375
98,   Kap Sco,6580.0,-0.05929824406342892,-0.9611770147365615,-0.26948555544426855,2380758.5883789062
99, 66    Oph,6712.0,0.0011455495014532364,-0.8844288327834077,0.46667368412812654,134407.15592575073
100,   The Ara,6743.0,0.01856148334219186,-0.8935820238263575,-0.4485160398809928,362714.07821655273
101,102    Her,6787.0,0.03571252422082999,-0.7154999169266747,0.6976994227399778,229209.99306964874
102,  3Alp Lyr,7001.0,0.12509464373081614,-0.45659923904748206,0.8808339599556323,1655544.896823883
103, 34Sig Sgr,7121.0,0.21409466791598014,-0.974969330005184,-0.05998565427823871,2324781.7092285156
104, 20Eta Lyr,7298.0,0.24530624586220948,-0.42373081499827564,0.8719386688075522,148157.03611898422
105, 12    Vul,7565.0,0.4300720769445358,-0.5963834624895956,0.6777645419329151,115545.813621521
106,   Alp Pav,7790.0,0.3255905637553406,-0.7377088776294303,-0.5914189688031706,2442907.16015625
107,  8Bet Cep,8238.0,0.2628435172922195,0.18798430089064463,0.9463483439178779,1281293.5656738281
108, 39Eps Cap,8260.0,0.7653755459361864,-0.6377281430991865,-0.0866203739437103,148187.11685180664
109,   Gam Gru,8353.0,0.6775359640967251,-0.6226817335285468,-0.39142365294576276,275611.5008239746
110,   Alp Gru,8425.0,0.6029328095470062,-0.5842423255498888,-0.5432613847935552,1334277.7028198242
111, 52Pi  Aqr,8539.0,0.9155320327109578,-0.3587965964306447,0.1818408630366863,189269.96641540527
112, 10    Lac,8622.0,0.72889955721743,0.004879524488283965,0.6846032615529979,280970.1767272949
